name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
Buried Alive Interlude,Take Care,Drake,3,0.711,0.412,0.543,0,0.505,-12.692,0.112,102.01,1
Aston Martin Music,Teflon Don,Rick Ross,34,0.57,0.0125,0.58,0,0.0497,-5.547,0.209,171.917,1
She Will,Tha Carter IV (Deluxe),Lil Wayne,55,0.364,0.000402,0.841,0,0.242,-4.831,0.119,100.14,1
It's Good,Tha Carter IV (Deluxe),Lil Wayne,41,0.666,0.0244,0.715,0,0.119,-7.292,0.156,85.356,1
Up All Night,Thank Me Later,Drake,59,0.592,0.00778,0.809,1.62E-05,0.336,-4.667,0.282,156.344,1
Unforgettable,Thank Me Later,Drake,42,0.562,0.0951,0.872,0,0.107,-5.108,0.119,156.109,1
The Resistance,Thank Me Later,Drake,41,0.439,0.83,0.737,0,0.116,-8.123,0.188,81.475,1
Thank Me Now,Thank Me Later,Drake,41,0.499,0.279,0.771,0,0.119,-4.851,0.42,76.222,1
Shut It Down,Thank Me Later,Drake,43,0.541,0.412,0.435,0,0.0978,-9.302,0.0844,119.819,1
Show Me A Good Time,Thank Me Later,Drake,43,0.665,0.0385,0.734,0,0.116,-6.066,0.117,128.31,1
Over,Thank Me Later,Drake,54,0.39,0.0107,0.847,0,0.124,-5.611,0.202,99.768,1
Miss Me,Thank Me Later,Drake,45,0.429,0.081,0.864,0,0.331,-5.975,0.603,100.814,1
Light Up,Thank Me Later,Drake,41,0.484,0.0946,0.907,0,0.151,-5.996,0.415,86.152,1
Karaoke,Thank Me Later,Drake,41,0.756,0.00901,0.658,0.0189,0.0805,-7.124,0.11,151.026,1
Fireworks,Thank Me Later,Drake,45,0.52,0.434,0.756,0,0.162,-6.472,0.356,89.453,1
Find Your Love,Thank Me Later,Drake,53,0.625,0.0209,0.613,0,0.0286,-6.005,0.173,96.034,1
Fancy,Thank Me Later,Drake,45,0.517,0.331,0.884,2.00E-06,0.356,-5.581,0.458,87.275,1
Cece's Interlude,Thank Me Later,Drake,36,0.436,0.0538,0.603,5.83E-06,0.115,-6.882,0.0331,94.992,1
100 (feat. Drake),The Documentary 2 + 2.5 (Collector's Edition),The Game,1,0.801,0.0136,0.521,0,0.179,-9.871,0.28,108.025,1
Good Girls Go Bad,The R.E.D. Album,The Game,16,0.38,0.0291,0.84,0,0.87,-4.528,0.311,159.939,1
The Zone,Trilogy,The Weeknd,31,0.616,0.305,0.523,0.000411,0.1,-8.105,0.0839,139.951,1
Truffle Butter,Truffle Butter,Nicki Minaj,33,0.896,0.0644,0.674,1.83E-05,0.12,-6.89,0.0499,105.096,1
"Two Birds, One Stone","Two Birds, One Stone",Drake,24,0.529,0.337,0.838,0,0.127,-2.619,0.212,88.052,1
With You,Views,Drake,37,0.872,0.152,0.407,0.000188,0.112,-10.036,0.256,127.97,1
Weston Road Flows,Views,Drake,32,0.62,0.0733,0.722,0,0.273,-7.022,0.322,82.918,1
Views,Views,Drake,32,0.446,0.07,0.871,0,0.243,-5.837,0.367,78.119,1
U With Me?,Views,Drake,34,0.442,0.376,0.421,7.23E-06,0.139,-11.455,0.137,87.694,1
Too Good,Views,Drake,51,0.804,0.0573,0.648,3.49E-05,0.102,-7.805,0.117,117.983,1
Summers Over Interlude,Views,Drake,30,0.687,0.372,0.267,0.00411,0.0992,-8.818,0.0297,131.962,1
Still Here,Views,Drake,41,0.834,0.0212,0.438,0,0.649,-9.577,0.152,133.958,1
Redemption,Views,Drake,36,0.66,0.625,0.311,1.29E-06,0.116,-8.681,0.113,119.237,1
One Dance,Views,Drake,60,0.791,0.00784,0.619,0.00423,0.351,-5.886,0.0532,103.989,1
Keep The Family Close,Views,Drake,32,0.373,0.132,0.56,0,0.381,-7.615,0.0448,98.858,1
Hype,Views,Drake,35,0.785,0.0259,0.633,0,0.368,-8.223,0.169,129.97,1
Hotline Bling,Views,Drake,52,0.903,0.00347,0.62,0.000119,0.0504,-8.094,0.0587,134.96,1
Grammys,Views,Drake,37,0.711,0.00175,0.44,2.73E-06,0.0798,-9.509,0.471,145.116,1
Fire & Desire,Views,Drake,39,0.709,0.0803,0.259,0,0.0855,-14.341,0.0892,79.839,1
Feel No Ways,Views,Drake,39,0.581,0.032,0.673,6.38E-06,0.116,-7.111,0.162,193.668,1
Faithful,Views,Drake,32,0.536,0.104,0.446,1.01E-05,0.323,-10.489,0.162,99.979,1
Controlla,Views,Drake,51,0.607,0.0773,0.476,0,0.113,-11.076,0.249,122.976,1
Childs Play,Views,Drake,40,0.691,0.0173,0.482,7.10E-06,0.197,-11.14,0.231,160.027,1
9,Views,Drake,33,0.703,0.00113,0.699,0.000779,0.246,-7.322,0.044,99.991,1
Scholarships,What A Time To Be Alive,Drake,29,0.511,0.0931,0.416,1.12E-05,0.0974,-9.203,0.384,86.678,1
Plastic Bag,What A Time To Be Alive,Drake,28,0.84,0.0106,0.477,0,0.157,-6.599,0.325,170.99,1
Live From The Gutter,What A Time To Be Alive,Drake,27,0.885,0.0335,0.485,0,0.0805,-8.491,0.24,82.992,1
Jumpman,What A Time To Be Alive,Drake,49,0.853,0.0462,0.558,0,0.341,-7.448,0.202,142.079,1
Jersey,What A Time To Be Alive,Drake,30,0.757,0.511,0.528,0.000334,0.0936,-10.799,0.274,146.056,1
I'm The Plug,What A Time To Be Alive,Drake,26,0.842,0.000394,0.519,0.00069,0.131,-9.255,0.223,160.003,1
Digital Dash,What A Time To Be Alive,Drake,30,0.889,0.00311,0.543,6.85E-06,0.234,-7.666,0.128,140.029,1
Diamonds Dancing,What A Time To Be Alive,Drake,31,0.522,0.139,0.362,2.83E-05,0.111,-10.827,0.048,135.797,1
Change Locations,What A Time To Be Alive,Drake,26,0.804,0.0204,0.334,0,0.118,-10.135,0.385,137.855,1
Big Rings,What A Time To Be Alive,Drake,32,0.769,0.00179,0.676,0,0.251,-6.48,0.277,131.938,1
30 for 30 Freestyle,What A Time To Be Alive,Drake,25,0.747,0.653,0.621,0,0.124,-9.115,0.394,89.282,1
Who Do You Love?,Who Do You Love?,YG,14,0.675,0.0339,0.417,0,0.0886,-9.751,0.511,193.094,1
One,x (Deluxe Edition),Ed Sheeran,70,0.464,0.877,0.321,0,0.0789,-11.12,0.0418,93.528,0
I'm A Mess,x (Deluxe Edition),Ed Sheeran,73,0.697,0.556,0.377,0,0.0999,-7.755,0.0397,138.754,0
Sing,x (Deluxe Edition),Ed Sheeran,74,0.818,0.304,0.67,1.22E-06,0.0601,-4.451,0.0472,119.988,0
Don't,x (Deluxe Edition),Ed Sheeran,77,0.806,0.0113,0.608,0,0.635,-7.008,0.0659,95.049,0
Nina,x (Deluxe Edition),Ed Sheeran,64,0.791,0.175,0.669,0,0.33,-7.189,0.146,92.013,0
Photograph,x (Deluxe Edition),Ed Sheeran,86,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0
Bloodstream,x (Deluxe Edition),Ed Sheeran,73,0.66,0.529,0.316,0.000294,0.104,-11.567,0.0364,91.207,0
Tenerife Sea,x (Deluxe Edition),Ed Sheeran,76,0.53,0.697,0.346,1.07E-05,0.105,-10.497,0.0376,121.876,0
Runaway,x (Deluxe Edition),Ed Sheeran,65,0.767,0.024,0.449,0.000299,0.151,-7.158,0.0364,95.03,0
The Man,x (Deluxe Edition),Ed Sheeran,62,0.759,0.576,0.725,0,0.0771,-7.006,0.158,87.467,0
Thinking Out Loud,x (Deluxe Edition),Ed Sheeran,86,0.781,0.474,0.445,0,0.184,-6.061,0.0295,78.998,0
Afire Love,x (Deluxe Edition),Ed Sheeran,67,0.552,0.464,0.637,1.63E-05,0.136,-6.568,0.0445,97.97,0
Take It Back,x (Deluxe Edition),Ed Sheeran,68,0.754,0.318,0.613,0,0.335,-6.342,0.229,113.196,0
Shirtsleeves,x (Deluxe Edition),Ed Sheeran,62,0.752,0.319,0.76,0,0.335,-5.34,0.0341,107.034,0
Even My Dad Does Sometimes,x (Deluxe Edition),Ed Sheeran,63,0.58,0.756,0.318,0.000171,0.117,-8.926,0.0279,129.757,0
I See Fire,x (Deluxe Edition),Ed Sheeran,29,0.641,0.638,0.176,5.14E-06,0.252,-11.692,0.0349,76.031,0
Let It Out,Loose Change,Ed Sheeran,51,0.731,0.645,0.603,0.011,0.147,-7.656,0.0378,96.973,0
